"LOCAL","VISITANTE","RESULTADO"
"Yeclano","Sevilla Atlético","2-0"
"Villarreal B","AD Ceuta","0-1"
"Atlético Madrid B","Real Murcia","2-1"
"Fuenlabrada","Algeciras","3-0"
"Mérida","Atlético Sanluqueño","3-2"
"UD Ibiza","Yeclano","2-1"
"RM Castilla","Sevilla Atlético","0-0"
"Marbella","Villarreal B","0-2"
"AD Ceuta","Antequera","2-2"
"Alcoyano","Hércules","1-2"
"Alcorcón","Intercity","3-0"
"Recreativo","Betis B","0-2"
"Hércules","RM Castilla","1-1"
"Villarreal B","Mérida","3-0"
"Yeclano","Atlético Madrid B","1-1"
"Antequera","Alcorcón","1-0"
"Sevilla Atlético","Alcoyano","3-0"
"Betis B","Marbella","2-1"
"Algeciras","UD Ibiza","0-0"
"Atlético Sanluqueño","AD Ceuta","0-0"
"Real Murcia","Fuenlabrada","2-0"
"Intercity","Recreativo","1-1"
"RM Castilla","Real Murcia","0-0"
"Mérida","Yeclano","1-0"
"AD Ceuta","Hércules","1-1"
"Atlético Madrid B","Betis B","0-0"
"Recreativo","Atlético Sanluqueño","0-0"
"Antequera","Algeciras","1-3"
"UD Ibiza","Intercity","0-2"
"Alcorcón","Villarreal B","2-1"
"Marbella","Alcoyano","0-2"
"Fuenlabrada","Sevilla Atlético","0-1"
"Yeclano","RM Castilla","1-1"
"Betis B","Alcorcón","1-2"
"Intercity","AD Ceuta","1-2"
"Villarreal B","Fuenlabrada","1-1"
"Sevilla Atlético","Marbella","0-1"
"Hércules","UD Ibiza","3-2"
"Algeciras","Atlético Madrid B","1-0"
"Alcoyano","Mérida","2-3"
"Atlético Sanluqueño","Antequera","4-2"
"Real Murcia","Recreativo","3-0"
"Atlético Madrid B","Intercity","4-1"
"Fuenlabrada","Marbella","1-1"
"Antequera","Hércules","4-3"
"Recreativo","Yeclano","1-0"
"UD Ibiza","RM Castilla","0-0"
"AD Ceuta","Alcoyano","1-0"
"Mérida","Sevilla Atlético","2-1"
"Alcorcón","Atlético Sanluqueño","3-1"
"Villarreal B","Algeciras","0-3"
"Betis B","Real Murcia","1-2"
"Sevilla Atlético","Recreativo","2-0"
"Marbella","UD Ibiza","2-1"
"RM Castilla","Atlético Madrid B","1-1"
"Yeclano","Betis B","1-1"
"Real Murcia","AD Ceuta","1-1"
"Hércules","Mérida","0-0"
"Atlético Sanluqueño","Villarreal B","1-1"
"Algeciras","Alcorcón","2-0"
"Alcoyano","Fuenlabrada","2-4 "
"Intercity","Antequera","0-1"
"UD Ibiza"," Sevilla Atlético","3-0"
"Villarreal B","Intercity","0-0"
"AD Ceuta"," Marbella","3-1"
"Betis B"," Hércules","2-1"
"Antequera"," Yeclano","0-1"
"Atlético Madrid B"," Alcoyano","2-0"
"Fuenlabrada"," Mérida","1-1"
"Recreativo"," RM Castilla","1-4"
"Alcorcón"," Real Murcia","2-1"
"Algeciras"," Atlético Sanluqueño","1-1"
"Marbella","Atlético Madrid B","2-0"
"Atlético Sanluqueño","Intercity","1-0"
"Alcoyano","Recreativo","0-0"
"Yeclano","Algeciras","2-2"
"RM Castilla","AD Ceuta","0-1"
"Sevilla Atlético","Betis B","0-0"
"Mérida","Antequera","3-0"
"Real Murcia","Villarreal B","1-0"
"Hércules","Alcorcón","2-0"
